id_incidente;fecha_incidente;hora_incidente;id_oficina;ciudad_oficina;agresion_verbal;agresion_fisica;llamada_fcs;dia_mes;aforo_alto;ocupacion_categoria;franja_horaria;agresion_fisica_verbal;es_fin_mes;dia_semana;cliente_reincidente
1;29/08/2023;13:00;DIAGONAL01;Diagonal;0;0;0;29;0;media;cierre;0;1;1;0
2;28/09/2024;8:30;ODONNELL01;O Donnell;0;0;0;28;1;baja;manana;0;1;5;0
3;18/10/2022;9:15;BARCELONADIAGONAL01;Barcelona Diagonal;0;0;0;18;0;media;manana;0;0;1;0
4;19/03/2024;9:00;COSTARICA01;Costa Rica;0;0;0;19;1;media;manana;0;0;1;0
5;02/09/2023;13:00;LASPALMASDEGC01;Las Palmas de GC;1;0;0;2;0;media;cierre;1;0;5;1
6;24/07/2023;12:45;MADRIDODONNELL01;Madrid O Donnell;0;0;0;24;0;baja;cierre;0;0;0;0
7;25/05/2023;8:00;VALENCIA01;Valencia;0;0;0;25;1;baja;manana;0;1;3;0
8;03/05/2025;8:15;TENERIFE01;Tenerife;0;0;0;3;1;alta;manana;0;0;5;0
9;25/05/2020;9:00;MADRIDACACIAS01;Madrid Acacias;0;0;0;25;1;media;manana;0;1;0;0
10;07/07/2021;12:15;VALENCIA01;Valencia;0;0;0;7;0;baja;cierre;0;0;2;0
11;13/01/2024;13:45;CORDOBA01;Cordoba;0;0;0;13;1;media;cierre;0;0;5;1
12;28/01/2021;9:45;BILBAO01;Bilbao;0;0;0;28;0;alta;manana;0;1;3;0
13;26/10/2024;12:30;VALENCIA01;Valencia;0;0;0;26;0;media;cierre;0;1;5;0
14;14/04/2020;14:00;MADRID01;Madrid;0;0;0;14;0;alta;cierre;0;0;1;1
15;17/07/2024;14:15;BARCELONA01;Barcelona;0;0;0;17;0;baja;cierre;0;0;2;0
16;25/08/2023;13:45;VALENCIA01;Valencia;1;0;0;25;1;media;cierre;1;1;4;0
17;31/10/2022;10:30;CORDOBA01;Cordoba;0;0;0;31;1;alta;manana;0;1;0;0
18;04/06/2020;9:15;BARCELONA01;Barcelona;0;0;0;4;0;media;manana;0;0;3;0
19;03/05/2024;14:30;BARCELONAMERIDIANA01;Barcelona Meridiana;0;0;0;3;0;media;cierre;0;0;4;0
20;02/07/2022;8:00;ACACIAS01;Acacias;0;0;0;2;0;media;manana;0;0;5;1
21;12/02/2021;11:00;MADRID01;Madrid;1;0;0;12;0;media;manana;1;0;4;1
22;05/12/2024;10:30;DIAGONAL01;Diagonal;1;0;0;5;0;baja;manana;1;0;3;0
23;03/09/2024;12:30;DIAGONAL01;Diagonal;1;0;0;3;0;media;cierre;1;0;1;0
24;13/08/2022;14:00;BARCELONADIAGONAL01;Barcelona Diagonal;0;0;0;13;1;media;cierre;0;0;5;0
25;02/04/2021;13:45;MADRID01;Madrid;1;0;0;2;0;baja;cierre;1;0;4;0
26;14/12/2023;12:00;VALENCIA01;Valencia;0;0;0;14;0;media;cierre;0;0;3;1
27;09/02/2023;11:00;MADRIDSANTAENGRACIA01;Madrid Santa Engracia;1;0;0;9;1;media;manana;1;0;3;0
28;23/11/2020;12:30;MADRIDSANTAENGRACIA01;Madrid Santa Engracia;0;0;0;23;0;media;cierre;0;0;0;0
29;07/11/2023;14:30;ACACIAS01;Acacias;1;0;0;7;0;media;cierre;1;0;1;0
30;29/06/2021;12:15;MAJADAHONDA01;Majadahonda;1;0;0;29;0;media;cierre;1;1;1;0
31;09/05/2024;13:00;MADRID01;Madrid;1;0;0;9;1;alta;cierre;1;0;3;0
32;28/01/2020;8:15;LASROZAS01;Las Rozas;0;0;0;28;0;baja;manana;0;1;1;0
